city,value
Adana,4109
Adıyaman,489
Afyonkarahisar,967
Ağrı,212
Amasya,447
Ankara,11359
Antalya,6212
Artvin,171
Aydın,2142
Balıkesir,2352
Bilecik,342
Bingöl,134
Bitlis,76
Bolu,400
Burdur,383
Bursa,5141
Çanakkale,877
Çankırı,182
Çorum,748
Denizli,2238
Diyarbakır,798
Edirne,722
Elazığ,682
Erzincan,265
Erzurum,453
Eskişehir,1729
Gaziantep,2524
Giresun,505
Gümüşhane,91
Hakkari,31
Hatay,2126
Isparta,704
Mersin,3558
İstanbul,28907
İzmir,11069
Kars,145
Kastamonu,397
Kayseri,2618
Kırklareli,640
Kırşehir,375
Kocaeli,2818
Konya,3507
Kütahya,836
Malatya,962
Manisa,2408
Kahramanmaraş,1478
Mardin,315
Muğla,2198
Muş,105
Nevşehir,538
Niğde,461
Ordu,818
Rize,302
Sakarya,1492
Samsun,1899
Siirt,84
Sinop,300
Sivas,740
Tekirdağ,1830
Tokat,610
Trabzon,678
Tunceli,110
Şanlıurfa,1123
Uşak,793
Van,338
Yozgat,690
Zonguldak,1129
Aksaray,770
Bayburt,64
Karaman,482
Kırıkkale,607
Batman,250
Şırnak,103
Bartın,273
Ardahan,64
Iğdır,199
Yalova,374
Karabük,376
Kilis,144
Osmaniye,598
Düzce,727
